Item.Code..FAO.,Item,TL
868,"Edible offal of cattle, fresh, chilled or frozen",2
1018,"Edible offal of goat, fresh, chilled or frozen",2
1036,"Edible offal of pigs, fresh, chilled or frozen",2.048124
978,"Edible offal of sheep, fresh, chilled or frozen",2
1059,"Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen",2.069212512
1128,"Edible offals of camels and other camelids, fresh, chilled or frozen",2
1167,"Offals n.e.c. (excluding mammals), fresh, chilled or frozen",2
1075,"Edible offals and liver of ducks, fresh, chilled or frozen",2.032496253
1081,"Edible offals and liver of turkey, fresh, chilled or frozen",2.05827
1098,"Edible offals of horses and other equines,  fresh, chilled or frozen",2
1074,"Edible offals and liver of geese, fresh, chilled or frozen",2.0305
948,"Edible offal of buffalo, fresh, chilled or frozen",2
878,Liver preparations,2.019883564
